frame,hops_from_anchor,anchor_frame,err_m,est_lat,est_lon,gt_lat,gt_lon
0,404,4040,57.62624571373062,43.52242353641676,-5.624604261287438,43.5219581806046,-5.62429153135596
10,403,4040,57.63569093291279,43.52242368707533,-5.624603893284682,43.5219581209767,-5.6242914916562
20,402,4040,57.641485049962185,43.52242382331495,-5.624603445335077,43.5219580345242,-5.62429151133466
30,401,4040,57.667500748559995,43.522424053258625,-5.624602708503389,43.5219578274057,-5.6242912787542
40,400,4040,57.666196876636455,43.52242413209656,-5.624602155491559,43.5219577224638,-5.6242912866802
50,399,4040,57.65642131605511,43.52242395160504,-5.624601871672391,43.5219574903239,-5.62429142883582
60,398,4040,57.66018345777457,43.52242373188001,-5.6246017436439955,43.5219571508382,-5.62429153594885
70,397,4040,57.67999866591655,43.52242365139086,-5.624601490601727,43.521956844868,-5.62429136271165
80,396,4040,57.68382928217155,43.52242364774073,-5.624601214536662,43.5219566631367,-5.62429148746382
90,395,4040,57.679312669930496,43.52242359353522,-5.624601187453811,43.5219566200653,-5.62429155756779
100,394,4040,57.68609018565346,43.522423643189406,-5.624601275011093,43.5219566814313,-5.62429141782662
110,393,4040,57.67967918727995,43.52242366972729,-5.6246014452715505,43.521956779921,-5.62429156504521
120,392,4040,57.67817388416545,43.52242411859806,-5.624601607804582,43.5219572309371,-5.62429176443359
130,391,4040,57.673815654207544,43.52242432567713,-5.624601799773892,43.5219574919476,-5.62429192636176
140,390,4040,57.648966365914575,43.52242458652561,-5.624602164835752,43.5219580197336,-5.62429223647191
150,389,4040,57.66196602961631,43.52242482889622,-5.624602458657524,43.5219581583186,-5.6242924563284
160,388,4040,57.6816955213906,43.52242551299692,-5.624602394486283,43.5219586021027,-5.6242925170776
170,387,4040,57.7140877623544,43.52242617699738,-5.624601939217544,43.521958963265,-5.62429200426726
180,386,4040,57.72766903519009,43.52242655499088,-5.6246012676284005,43.5219590299369,-5.6242918377704
190,385,4040,57.75176785834923,43.52242707382779,-5.624600042160879,43.5219591382414,-5.62429110276712
200,384,4040,57.79537036222614,43.52242768990933,-5.624598937876955,43.5219592196047,-5.6242902884265
210,383,4040,57.79730577001795,43.522427814253184,-5.624598235404109,43.5219590978265,-5.62429024170992
220,382,4040,57.76567277808568,43.52242775121958,-5.624597856031687,43.5219591061312,-5.62429056751184
230,381,4040,57.76441485296569,43.52242751205403,-5.624597258509795,43.5219586903481,-5.62429051917478
240,380,4040,57.76622310418826,43.522427488188754,-5.624596313598615,43.5219583214649,-5.62429052678764
250,379,4040,57.764030826305486,43.522427546566966,-5.624595656221512,43.5219581897992,-5.62429048828225
260,378,4040,57.7652795219926,43.522427712957175,-5.624595345438537,43.5219582684405,-5.62429039801046
270,377,4040,57.775999053142066,43.522427980506045,-5.6245949505672,43.521958239413,-5.62429056058318
280,376,4040,57.79445359538067,43.522428403107696,-5.624594242527267,43.5219582702061,-5.62429046593497
290,375,4040,57.79193039500934,43.52242875487364,-5.624593525438548,43.5219584718053,-5.62429026504318
300,374,4040,57.78317820336042,43.52242877733171,-5.6245925542996575,43.5219583482559,-5.62428998135931
310,373,4040,57.75564888015756,43.52242854348766,-5.62459226804483,43.5219582202408,-5.6242901893097
320,372,4040,57.7239828160324,43.5224283961491,-5.62459265117651,43.521958291685,-5.62429085382894
330,371,4040,57.70263313086605,43.522428287523844,-5.624593086456271,43.5219584294817,-5.62429118588687
340,370,4040,57.67629474445462,43.52242811866545,-5.624593271474889,43.5219584319913,-5.62429163631577
350,369,4040,57.67952944522181,43.522428062621024,-5.624593244150009,43.5219583229902,-5.62429167090877
360,368,4040,57.65499139900016,43.5224277978772,-5.624593155052543,43.5219582507038,-5.62429173196998
370,367,4040,57.65932524330525,43.52242815344861,-5.624592954022615,43.5219585079675,-5.62429169504283
380,366,4040,57.89307954434286,43.52243045857027,-5.624593748639405,43.5219588828389,-5.62429134626318
390,365,4040,58.135806580083674,43.52243169730632,-5.624597201317732,43.5219588498452,-5.62429144749533
400,364,4040,58.30914068948706,43.52243097981366,-5.624604496719733,43.5219591473793,-5.62429079791055
410,363,4040,58.56391806983396,43.52243227736489,-5.6246069268028265,43.5219603331788,-5.62428633909936
420,362,4040,58.94708203344334,43.5224371932312,-5.624603877710081,43.521962457462,-5.62428036452011
430,361,4040,59.36762996722966,43.5224455125752,-5.624594987800133,43.5219664819417,-5.62427171292377
440,360,4040,59.98155929611848,43.52245695643519,-5.624581078572546,43.521972712618,-5.62425519286176
450,359,4040,60.78603246590812,43.52247108472661,-5.62456209962219,43.5219779924521,-5.62423857984515
460,358,4040,61.731378879733874,43.52248793951728,-5.624538882075127,43.5219844063257,-5.62421849093922
470,357,4040,62.90431566251188,43.52250747896981,-5.624511788531998,43.5219933321352,-5.62418845517909
480,356,4040,64.11834856679118,43.52252797054001,-5.624483010065159,43.5219997551099,-5.62416627418302
490,355,4040,65.28653782076194,43.52254749813482,-5.624455479275118,43.522006300018,-5.62414384324646
500,354,4040,66.4179933319396,43.52256647724369,-5.624428890943014,43.522014480986,-5.6241165817028
510,353,4040,67.60253824888314,43.522585963205294,-5.624401637779091,43.5220206760524,-5.62409559941316
520,352,4040,68.87110047427933,43.522606006999574,-5.624373662407287,43.5220268303048,-5.62407366646485
530,351,4040,70.15309615197272,43.52262643420578,-5.624345590397998,43.5220348607353,-5.62404601000576
540,350,4040,71.45172759100289,43.52264733368947,-5.624317237358725,43.5220411901429,-5.62402606386029
550,349,4040,72.83669121012063,43.52266862179514,-5.624288434090805,43.5220474655882,-5.6240048684585
560,348,4040,74.15734170391185,43.522689835823726,-5.624259744377315,43.5220554431822,-5.6239793944432
570,347,4040,75.3570598696331,43.52270806202734,-5.62423529176457,43.5220605699074,-5.62396291454342
580,346,4040,76.39713770536095,43.522723742774524,-5.624214173529619,43.5220650947145,-5.62394827764927
590,345,4040,77.310049747092,43.52273803003724,-5.624194924232311,43.5220700503588,-5.62393283259124
600,344,4040,78.05048518980843,43.52274926288007,-5.6241793065738195,43.5220731757362,-5.62392313820194
610,343,4040,78.68316327625291,43.522758284790996,-5.624166334336299,43.5220753894069,-5.62391484989296
620,342,4040,79.15464770193807,43.522765485655874,-5.624155907001645,43.5220777525098,-5.62390679889349
630,341,4040,79.57553789724233,43.52277138460168,-5.624147372966749,43.5220789649662,-5.62390241028389
640,340,4040,79.8316349520173,43.52277482866889,-5.6241428131377935,43.5220797299136,-5.62389949802802
650,339,4040,79.91726043228275,43.52277611259492,-5.6241416271418,43.5220802067216,-5.62389838584753
660,338,4040,79.96369578440766,43.52277700815139,-5.62414064825301,43.5220805953248,-5.62389782460603
670,337,4040,80.02078532864788,43.522777881929066,-5.624139547985023,43.5220807862725,-5.62389756579508
680,336,4040,80.0166436900025,43.52277790850942,-5.624139392265697,43.5220808512696,-5.62389740979481
690,335,4040,80.1128645539284,43.52277928390586,-5.624137999624772,43.5220812427599,-5.62389652575415
700,334,4040,80.36353258703069,43.52278292225022,-5.624133348077607,43.5220822107085,-5.62389380803799
710,333,4040,80.85369547305227,43.52279009150612,-5.6241234099974164,43.5220845157024,-5.62388571776528
720,332,4040,81.68823477178478,43.5228016708085,-5.624107168853796,43.5220871967062,-5.62387633568294
730,331,4040,82.75103948397111,43.522816386146445,-5.624086248745616,43.5220906626352,-5.62386422782687
740,330,4040,83.7985162959175,43.522831274568496,-5.624064920605723,43.5220950107666,-5.62384867856214
750,329,4040,84.84702843172597,43.52284524572593,-5.624044974477659,43.5220980564547,-5.6238374301961
760,328,4040,85.86708461080177,43.522858905162956,-5.6240260923117384,43.5221012500507,-5.62382647530374
770,327,4040,86.86287336035215,43.52287290604178,-5.6240068952743245,43.5221054500259,-5.62381242966299
780,326,4040,87.95428975865684,43.52288708131658,-5.623987536578549,43.5221084698248,-5.62380233997999
790,325,4040,89.0467762584819,43.52290144971798,-5.623967479855482,43.5221117874436,-5.62379136991898
800,324,4040,90.11215451077403,43.522915783566425,-5.623947234160355,43.5221156837566,-5.62377767398952
810,323,4040,91.26558925226504,43.52293033530952,-5.6239265492844215,43.5221186542787,-5.62376730850613
820,322,4040,92.45415573546735,43.52294514779384,-5.623905858534446,43.5221216885731,-5.62375671854356
830,321,4040,93.67511478180276,43.52296096680078,-5.623884089869102,43.5221257431851,-5.62374263703365
840,320,4040,95.00081377677525,43.52297694024214,-5.623861731329973,43.522128700103,-5.62373241866584
850,319,4040,96.30281323996599,43.522993062314974,-5.623839004500123,43.5221323961044,-5.62371832860219
860,318,4040,97.75418475469498,43.52300970212976,-5.62381559425681,43.5221350123683,-5.62370833272582
870,317,4040,99.26397017843901,43.523027016923606,-5.623791652135364,43.5221379061652,-5.62369794295156
880,316,4040,100.85056063136706,43.523045154441014,-5.623767184155818,43.52214104525,-5.62368744741136
890,315,4040,102.45548226402006,43.5230643267197,-5.623741842110191,43.5221452676876,-5.62367403470335
900,314,4040,104.2384435711826,43.52308400699612,-5.62371455398234,43.5221483451246,-5.62366364143193
910,313,4040,105.98688837003228,43.523104227292414,-5.623686865525643,43.5221525144648,-5.62364959668771
920,312,4040,107.94102809589026,43.52312509451301,-5.623657901155151,43.5221555375021,-5.62363930681784
930,311,4040,110.03337424799261,43.523146882897976,-5.62362794913626,43.5221584369189,-5.62362949969322
940,310,4040,112.11276012438395,43.52316962341536,-5.623596592609282,43.5221625898966,-5.62361542106311
950,309,4040,114.51070473096831,43.523193975184824,-5.623562772696824,43.5221657687827,-5.6236052290198
960,308,4040,117.01658470258944,43.523218898431374,-5.623527264283373,43.5221688562773,-5.62359463494717
970,307,4040,119.476677061617,43.52324389654871,-5.6234914516963235,43.5221725551234,-5.62358031232157
980,306,4040,122.22752222689618,43.52327012915112,-5.623454401822129,43.522175349407,-5.6235700841256
990,305,4040,125.03560265415449,43.52329671206054,-5.623417088166411,43.5221782808126,-5.62355988565361
1000,304,4040,127.92821038844798,43.52332499961348,-5.6233775418054,43.5221822949722,-5.62354579242059
1010,303,4040,131.16795464927173,43.52335437519891,-5.623336744602447,43.5221849399175,-5.62353572145355
1020,302,4040,134.57412490939333,43.5233851870122,-5.623294206251675,43.5221879658504,-5.62352539094139
1030,301,4040,138.0121704464908,43.5234176197484,-5.623249356157918,43.5221924876332,-5.62351144950251
1040,300,4040,141.86950618155038,43.52345133883983,-5.623202177529258,43.5221954635522,-5.62350104588315
1050,299,4040,145.91573778209957,43.52348597700946,-5.623153688572713,43.5221981996667,-5.62349089003828
1060,298,4040,149.92137480754207,43.52352159773166,-5.623103910756329,43.5222022210225,-5.62347659359379
1070,297,4040,154.13185526283112,43.52355711948454,-5.623053786058803,43.5222052853691,-5.6234666803756
1080,296,4040,158.45311313931126,43.52359293744315,-5.623002829719632,43.5222080426955,-5.62345638757402
1090,295,4040,162.93912933288948,43.52363136531833,-5.62294931288449,43.5222120450666,-5.62344266192075
1100,294,4040,166.95513874016945,43.523664361691175,-5.622903398422183,43.5222148090577,-5.62343422231469
1110,293,4040,170.1972830631922,43.52369072873019,-5.622865691386019,43.5222169573797,-5.62342684073232
1120,292,4040,172.87839299352768,43.523713151049954,-5.622833162513441,43.5222192365529,-5.62341828600336
1130,291,4040,175.84143300280076,43.52373653567289,-5.622799044381453,43.5222208403114,-5.6234124626259
1140,290,4040,178.64684269548016,43.52375851423502,-5.6227672154338615,43.5222222599841,-5.62340720030191
1150,289,4040,180.74136023804238,43.52377522423341,-5.622742546549765,43.5222235697437,-5.62340183967885
1160,288,4040,181.65933198706685,43.523781935304754,-5.622731770975373,43.5222237484149,-5.62340041842794
1170,287,4040,181.61012029952545,43.52378164218315,-5.6227314882909525,43.5222238615494,-5.62339988431284
1180,286,4040,182.47441383308313,43.5237884123405,-5.622723634810902,43.5222241165176,-5.62339918129586
1190,285,4040,184.47016830165552,43.52380156510934,-5.622699331138588,43.5222239504396,-5.62339874018532
1200,284,4040,185.32162812285372,43.523805406901026,-5.622684063141725,43.5222231964834,-5.62339812157169
1210,283,4040,185.7665965977751,43.523804682546874,-5.622672423418965,43.5222204142104,-5.62339549267751
1220,282,4040,187.08111973046474,43.52380856905676,-5.622647249307418,43.522217049662,-5.62339173298247
1230,281,4040,189.62563812209754,43.52381830888712,-5.622603739693344,43.5222119852345,-5.62338561783079
1240,280,4040,193.1495965928155,43.52383046365759,-5.622545187639369,43.522202796306,-5.62337409120656
1250,279,4040,196.87075476450912,43.52384444236648,-5.622481855873415,43.522196127777,-5.62336570386685
1260,278,4040,200.3065233906683,43.52385645057032,-5.622422432832445,43.5221897600502,-5.62335772522112
1270,277,4040,203.97420679850507,43.52386930909699,-5.622363756511124,43.5221815161026,-5.62334748270431
1280,276,4040,207.5306111559501,43.52388198182847,-5.622304375308847,43.5221756053852,-5.62333992834364
1290,275,4040,211.04864742507704,43.52389376458312,-5.622245330076025,43.522169541097,-5.6233324993113
1300,274,4040,215.00752855188688,43.52390729256619,-5.622183123591386,43.5221613317945,-5.6233221359084
1310,273,4040,218.89597711043993,43.523920966526006,-5.62211998584483,43.5221556809621,-5.62331466264215
1320,272,4040,222.79866084335177,43.523933898805666,-5.6220564466967256,43.5221497156564,-5.62330714665537
1330,271,4040,227.02795532777358,43.523947849472826,-5.621990710664427,43.522141665921,-5.62329685395113
1340,270,4040,231.18634608521356,43.523961374819415,-5.621924124460792,43.5221357065436,-5.6232893607429
1350,269,4040,235.55705621558198,43.52397573614379,-5.6218550694403735,43.5221297451096,-5.62328162339637
1360,268,4040,240.06561460034317,43.52398974934432,-5.6217854206498235,43.522121564095,-5.62327115205508
1370,267,4040,244.6569255829572,43.52400439425283,-5.621713804836054,43.5221156950812,-5.62326377160558
1380,266,4040,249.40299884084263,43.52401935373246,-5.6216402323907495,43.522109861157,-5.6232564258428
1390,265,4040,254.5008488588315,43.524035463492275,-5.621564198957025,43.522101754546,-5.62324626385536
1400,264,4040,259.7207404172144,43.5240519925684,-5.62148469747586,43.5220961174126,-5.62323893217659
1410,263,4040,265.14753237723164,43.52406867744338,-5.62140241681981,43.5220901174629,-5.62323128594642
1420,262,4040,270.6224484084373,43.524084261208785,-5.621319952753296,43.5220818098626,-5.6232210254704
1430,261,4040,276.06001371089997,43.52409964180089,-5.621237351794261,43.5220757341718,-5.62321371619124
1440,260,4040,281.9820678042118,43.52411724483377,-5.621149219318666,43.5220699426891,-5.62320642468307
1450,259,4040,288.1782356129136,43.52413546909172,-5.621058951580107,43.5220618042943,-5.62319616846125
1460,258,4040,294.63624516449215,43.52415519956686,-5.620965804373262,43.5220559076604,-5.62318886230117
1470,257,4040,300.95174483424347,43.52417365003963,-5.62087438725666,43.5220501130936,-5.62318189252873
1480,256,4040,306.4595892777839,43.524189573770194,-5.620795606106592,43.5220436244188,-5.6231738552812
1490,255,4040,310.9051518461423,43.524202356980304,-5.620731709923506,43.5220398850083,-5.6231693150652
1500,254,4040,315.06355621613795,43.52421448248179,-5.620672355073666,43.5220365242813,-5.62316506445006
1510,253,4040,319.4327433538915,43.524227547146104,-5.620610945202268,43.5220321694505,-5.6231593174423
1520,252,4040,323.03862197404965,43.524238174254705,-5.620559902224215,43.5220296481981,-5.6231559845859
1530,251,4040,325.0889566572463,43.52424427502951,-5.620531209537193,43.5220281983143,-5.62315419717655
1540,250,4040,325.8965789722072,43.52424670277318,-5.620519683215374,43.5220274386871,-5.62315290758755
1550,249,4040,326.57283700804766,43.52425117932204,-5.6205127911201895,43.5220276868404,-5.62315208349431
1560,248,4040,328.1879742763162,43.52425794018998,-5.620491905108804,43.5220279773654,-5.62315148652546
1570,247,4040,327.8400988120396,43.52425116666502,-5.620489727396673,43.5220267024003,-5.62315148057091
1580,246,4040,327.91141896084287,43.52424570788245,-5.620482508778549,43.5220248187094,-5.6231512790607
1590,245,4040,328.965908620838,43.524242091577555,-5.620460535272851,43.522021909162,-5.62315025988441
1600,244,4040,331.2232112306277,43.524236838813486,-5.620418065120908,43.5220152107779,-5.62314774176417
1610,243,4040,334.84756532836485,43.524230501799394,-5.620349456739009,43.52200764042,-5.62314431476897
1620,242,4040,339.26912949189887,43.524222836213106,-5.620266712337076,43.5219988425835,-5.62314058390192
1630,241,4040,343.7999333739509,43.52421470082124,-5.620185486711297,43.5219871498143,-5.62313574576865
1640,240,4040,348.00839730009113,43.52420739663904,-5.620108049866693,43.5219793199694,-5.62313235724199
1650,239,4040,352.18542302536656,43.52420008860138,-5.620032023362392,43.5219715207551,-5.62312898487805
1660,238,4040,356.53363920587475,43.52419245217763,-5.619955935400458,43.5219609114556,-5.62312436356695
1670,237,4040,361.0429838765629,43.524184772826594,-5.619874891045551,43.5219534704667,-5.62312105859324
1680,236,4040,365.5009216067194,43.52417688029837,-5.61979565972187,43.5219456637277,-5.62311762432035
1690,235,4040,370.0446228562866,43.52416807705846,-5.619716807055571,43.5219351674128,-5.6231129859017
1700,234,4040,374.5110565078862,43.52415884635702,-5.619637178499054,43.5219277373717,-5.62310989075531
1710,233,4040,379.0240799653085,43.524149526765484,-5.619557505930074,43.5219199818239,-5.62310644306128
1720,232,4040,383.8462033312515,43.52414003006105,-5.619475185642099,43.5219095967845,-5.62310175861287
1730,231,4040,388.7937208449066,43.52412988003246,-5.61938877892407,43.5219021444694,-5.62309844465981
1740,230,4040,393.68086332167184,43.5241192392047,-5.619303823840406,43.5218944772849,-5.62309509441272
1750,229,4040,398.6298871432315,43.524107390138816,-5.6192193107017605,43.5218838637106,-5.6230904885079
1760,228,4040,403.48501608337153,43.524094974286356,-5.619134503412092,43.521876528051,-5.62308756018397
1770,227,4040,408.6521729788895,43.52408303859695,-5.619046211933118,43.5218687069921,-5.6230842103149
1780,226,4040,414.26531149213474,43.52407218213982,-5.618954874794673,43.5218580185644,-5.62307989684547
1790,225,4040,420.00637060495643,43.5240616991054,-5.6188602842357,43.5218505315284,-5.62307646106031
1800,224,4040,425.8869009507268,43.524050649234084,-5.618764039498655,43.5218430935464,-5.62307332867452
1810,223,4040,432.1487106097002,43.524040077526,-5.618664870193936,43.5218324715715,-5.6230687539601
1820,222,4040,438.3989364473123,43.5240288793057,-5.618564551969695,43.5218247497516,-5.62306549426017
1830,221,4040,444.83501113801185,43.52401764795387,-5.618463311540759,43.5218147046805,-5.62306123570492
1840,220,4040,451.36163930671813,43.52400652693649,-5.618360404946006,43.5218068730751,-5.62305787165814
1850,219,4040,457.38831590144065,43.52399696822564,-5.618266161041474,43.5218007310007,-5.62305524711201
1860,218,4040,462.0137048084717,43.52398793484805,-5.618194230455634,43.5217934493044,-5.62305248854065
1870,217,4040,466.0120748621513,43.52397975355658,-5.618131236993134,43.5217884116748,-5.62305042447987
1880,216,4040,469.92465953565187,43.52397184973367,-5.618069982173823,43.5217839407796,-5.62304884160474
1890,215,4040,473.5704053160808,43.523964724657034,-5.618013772834793,43.5217785196266,-5.62304677952875
1900,214,4040,476.0827109319965,43.52395998703876,-5.6179747100988,43.5217758857155,-5.62304568870883
1910,213,4040,477.3302906245043,43.52395685685406,-5.617954760096143,43.5217744063998,-5.62304505431113
1920,212,4040,478.51174303354173,43.523959891229914,-5.617939727618911,43.521774114971,-5.62304431292026
1930,211,4040,481.44088636007507,43.52396951849495,-5.617904775685577,43.5217742830365,-5.62304379770846
1940,210,4040,478.82274012578307,43.52394831272784,-5.617925390206492,43.5217739778662,-5.62304372625369
1950,209,4040,477.2537700825689,43.52393614278157,-5.6179397441111645,43.5217725321156,-5.62304421329949
1960,208,4040,475.7634479851423,43.52392053605857,-5.617951948281042,43.5217699777392,-5.62304554277475
1970,207,4040,472.83328230859007,43.523890874617194,-5.61797550574419,43.5217659364226,-5.62304762715678
1980,206,4040,468.2096054981786,43.52384261033306,-5.618014273079346,43.5217572264345,-5.62305166529856
1990,205,4040,461.57171901080574,43.52377826005769,-5.618069593664293,43.5217483074498,-5.62305576440346
2000,204,4040,454.65401859787113,43.52371291838892,-5.618128174180707,43.5217397843754,-5.62305987447244
